ID,Name,DSM5 Criteria,Symptom of DSM5 Criteria,CUI,
ASD0403,able to communicate,A2,nonverbal communication,C2364293,
ASD0404,impaired cognition,A2,deficits in understanding and use of gestures,C0338656,
ASD0405,oppositional behavior,B2,ritualized patterns of verbal behavior,C2013199,
ASD0406,routine,B2,inflexible adherence to routines,C0205547,
ASD0407,homicidal and suicidal ideations,B1,echolalia,C2977674,
ASD0408,perseverative thinking,B2,rigid thinking patterns,C0679047,
ASD0409,difficulty using mathematical symbols,A2,deficits in understanding and use of gestures,C2183455,
ASD0410,prioritizing problems,B2,difficulties with transitions,C0557972,
ASD0411,milestone: combines two different words,B1,idiosyncratic phrases,C2182637,
ASD0412,impulse control,B1,stereotyped motor movements,C0150632,
ASD0413,different,A3,"deficits in developing, maintaining, and understand relationships, ranging",C1705242,
ASD0414,difficulty communicating,A3,difficulties in making friends,C0566003,
ASD0415,preschool completion,A1,social-emotional reciprocity,C0681405,
ASD0416,destructive behaviour toward property,B2,ritualized patterns of nonverbal behavior,C0474405,
ASD0417,"explosive disorder, intermittent",E,intellectual developmental disorder,C0021776,
ASD0418,planned and impulsive behavior,B2,ritualized patterns of verbal behavior,C0679179,
ASD0419,rapid speech,B1,echolalia,C0240863,
ASD0420,ability to throw objects,B1,use of objects,C0565693,
ASD0421,"developmental disorder of speech and language, unspecified",E,intellectual developmental disorder,C0349325,
ASD0422,redirected behavior,B2,ritualized patterns of nonverbal behavior,C0233517,
ASD0423,excessive  crying infant,B4,excessive smelling,C0497134,
ASD0424,loss of motor skills,B1,repetitive motor movements,C4014590,
ASD0425,dyskinetic movements,B1,stereotyped motor movements,C2678069,
ASD0426,depression suicidal,E,intellectual disability,C0221745,
ASD0427,perceptual disturbances visual skills,B4,visual fascination with movement,C2052875,
ASD0428,semantic-pragmatic impairment,A2,deficits in understanding and use of gestures,C0454622,
ASD0429,mental condition,B1,echolalia,C3840291,
ASD0430,chronic motor tics,B1,repetitive motor movements,C1392622,
ASD0431,trouble with boss,A3,difficulties in making friends,C0680120,
ASD0432,behavior combative,B2,ritualized patterns of nonverbal behavior,C0741454,
ASD0433,macrocephaly autism syndrome,E,intellectual developmental disorder,C1854416,
ASD0434,difficulty with tasks that require sustained cognitive effort,A2,deficits in understanding and use of gestures,C1820696,
ASD0435,difficulty taking turns in conversation,A1,failure of normal back-and-forth conversation,C0566087,
ASD0436,self-stimulating behavior (in some patients),B2,ritualized patterns of nonverbal behavior,C3550616,
ASD0437,"sleep, rem",B4,hyper-reactivity to sensory input,C0037322,
ASD0438,hypermotor behavior,B2,ritualized patterns of nonverbal behavior,C2674588,
ASD0439,walks occasionally,B4,visual fascination with movement,C3845943,
ASD0440,licked,B2,eat same food,C0233928,
ASD0441,verbal impairment,B1,echolalia,C0566027,
ASD0442,decreased speech,A1,reduced sharing of affect,C3279887,
ASD0443,severe receptive language delay,E,global developmental delay,C3532947,
ASD0444,other problems related to life-management difficulty,B2,difficulties with transitions,C0478610,
ASD0445,"inappropriate laughing, joking, or punning",B3,excessively perseverative interest,C2048502,
ASD0446,soto syndrome,E,global developmental delay,C0175695,
ASD0447,sharing of sex aids,A1,reduced sharing of emotions,C0556635,
ASD0448,challenging behaviour,A3,difficulties adjusting behavior,C0474414,
ASD0449,type a behavior pattern,B2,ritualized patterns of verbal behavior,C1398208,
ASD0450,excessive eye blinking,A2,abnormalities in eye contact,C1699603,
ASD0451,parental concerns: child's socialization behavior,B2,ritualized patterns of nonverbal behavior,C2319384,
ASD0452,delay speech,E,global developmental delay,C0241210,
ASD0453,sharing (social behavior),A1,reduced sharing of interests,C0237876,
ASD0454,das-ii composite score nonverbal reasoning,A2,nonverbal communication,C4029444,
ASD0455,executive function,B1,echolalia,C0935584,
ASD0456,maintains attention,B3,highly fixated interests,C0517258,
ASD0457,aggressive behavior (in some patients),B2,ritualized patterns of verbal behavior,C3550976,
ASD0458,behavior plans,A3,difficulties adjusting behavior,C0679180,
ASD0459,delayed development (in some),E,global developmental delay,C2748802,
ASD0460,"relations, interpersonal",A2,nonverbal communication,C0021797,
ASD0461,behavior violent toward self,B2,ritualized patterns of nonverbal behavior,C0741456,
ASD0462,mood anxious,B3,preoccupation,C2239195,
ASD0463,cognitive delay,E,intellectual developmental disorder,C1864897,
ASD0464,sleep loss,B4,hyper-reactivity to sensory input,C0235161,
ASD0465,obsessive tendencies,B3,preoccupation,C1849160,
ASD0466,pulling out sutures,B4,excessive touching of objects,C0562714,
ASD0467,pacing up and down,B1,lining up toys,C0562458,
ASD0468,staring,B2,ritualized patterns of nonverbal behavior,C0423086,
ASD0469,sensory processing disorder,E,intellectual developmental disorder,C4087194,
ASD0470,behavior disorders,A3,difficulties adjusting behavior,C0004930,
ASD0471,word recognition,B1,echolalia,C0871615,
ASD0472,communication issue,A2,nonverbal communication,C0681295,
ASD0473,ability to process information accurately,A1,failure to respond to social interactions,C0589140,
ASD0474,disorganized thinking,B2,rigid thinking patterns,C1855263,
ASD0475,speech and language problems in children,A2,abnormalities in body language,C3534588,
ASD0476,clinical syndromes,E,intellectual developmental disorder,C0221444,
ASD0477,language proficiency,A2,abnormalities in body language,C0678997,
ASD0478,intellectual ability,E,intellectual developmental disorder,C0423898,
ASD0479,obsessional erotomania,B3,preoccupation,C0233692,
ASD0480,self talking,A1,failure of normal back-and-forth conversation,C0871330,
ASD0481,complex motor behavior such as sleep walking,B1,repetitive motor movements,C2674587,
ASD0482,life skills,A2,abnormalities in body language,C0678999,
ASD0483,inability to communicate,A2,lack of nonverbal communication,C1845266,
ASD0484,acknowledges ability to change behavior,B2,ritualized patterns of nonverbal behavior,C1821482,
ASD0485,landau kleffner syndrome,B1,echolalia,C0282512,
ASD0486,loss of postural tone,B4,hyporeactivity to sensory input,C1843572,
ASD0487,mixed obsessional thoughts and acts,B3,preoccupation,C0349238,
ASD0488,phonological disorder,E,intellectual developmental disorder,C4048283,
ASD0489,inappropriate use of language in communication,A2,nonverbal communication,C4274524,
ASD0490,difficulty comprehending language,A2,abnormalities in body language,C4274568,
ASD0491,difficulty joining in conversation,A1,failure of normal back-and-forth conversation,C0566081,
ASD0492,difficulty producing voice,A3,difficulties in making friends,C0564184,
ASD0493,cognitive style,A2,abnormalities in body language,C0563147,
ASD0494,loss of language ability,A2,abnormalities in body language,C1843016,
ASD0495,compulsive eating,B2,eat same food,C1269755,
ASD0496,"hearing loss, sensorineural, mild",B4,visual fascination with lights,C4228074,
ASD0497,manageable behavior,B2,ritualized patterns of verbal behavior,C0562449,
ASD0498,reported bite on arm,B2,insistence on sameness,C2186606,
ASD0499,animal escape behavior,B2,ritualized patterns of verbal behavior,C0237600,
ASD0500,cri-du-chat syndrome,E,intellectual developmental disorder,C0010314,
ASD0501,ability to sustain concentration,A1,failure to initiate social interactions,C0564669,
ASD0502,"lack of; responsiveness, behavior",A2,lack of nonverbal communication,C1398152,
ASD0503,inappropriate laughter,B1,echolalia,C0424304,
ASD0504,inappropriate affect,A1,reduced sharing of affect,C0233467,
ASD0505,difficulty understanding verbal language,A2,abnormalities in body language,C4274558,
ASD0506,motor level spinal weakness,B1,repetitive motor movements,C0278120,
ASD0507,nonverbal learning,A2,nonverbal communication,C0870976,
ASD0508,inarticulate speech delayed gross motor skills,B1,simple motor stereotypies,C3275366,
ASD0509,antisocial  behavior,B2,ritualized patterns of nonverbal behavior,C0233523,
ASD0510,lesch - nyhan syndrome,E,intellectual developmental disorder,C0023374,
ASD0511,dystonic posturing,B1,stereotyped motor movements,C0426961,
ASD0512,difficulty with buttons/zippers,B2,difficulties with transitions,C3843013,
ASD0513,rigid standing posture,B2,rigid thinking patterns,C2112864,
ASD0514,school learning,E,intellectual developmental disorder,C0871298,
ASD0515,crying uncontrollable,B2,ritualized patterns of verbal behavior,C0541851,
ASD0516,mental fatigue,E,intellectual disability,C0015676,
ASD0517,lack of ingesta,A2,lack of nonverbal communication,C3686519,
ASD0518,speech intelligibilities,B1,echolalia,C0037824,
ASD0519,kallmann's syndrome,E,intellectual developmental disorder,C0162809,
ASD0520,syndrome inappropriate adh,A1,failure of normal back-and-forth conversation,C0021141,
ASD0521,grunting while breathing,B1,echolalia,C4064970,
ASD0522,unspecified neurodevelopmental disorder,E,intellectual developmental disorder,C4237474,
ASD0523,syndrome goldenhar,E,intellectual developmental disorder,C0265240,
ASD0524,finding of color of hair,B4,visual fascination with lights,C1288176,
ASD0525,withdrawn behaviour,B2,ritualized patterns of nonverbal behavior,C0475703,
ASD0526,very bad,A3,difficulties in making friends,C3840984,
ASD0527,unpredictable behavior,B2,ritualized patterns of nonverbal behavior,C0562453,
ASD0528,aggression (in some patients),B2,ritualized patterns of verbal behavior,C3551491,
ASD0529,intermittent difficulty opening eye,A2,abnormalities in eye contact,C2077830,
ASD0530,gross motor development delay,E,global developmental delay,C1837658,
ASD0531,minimal eye contact,A2,abnormalities in eye contact,C4228184,
ASD0532,manic behavior,B2,ritualized patterns of nonverbal behavior,C0562457,
ASD0533,willi prader syndrome,E,intellectual disability,C0032897,
ASD0534,excessive head shaking,B4,excessive touching of objects,C3669952,
ASD0535,facial grimacing,A2,lack of facial expressions,C0234853,
ASD0536,rapport,A2,nonverbal communication,C0680241,
ASD0537,tourette's syndrome gilles de la,B1,echolalia,C0040517,
ASD0538,verbal aggression,B2,ritualized patterns of verbal behavior,C0424322,
ASD0539,cognitive intervention,B1,echolalia,C3899527,
ASD0540,motor delay,B1,repetitive motor movements,C1854301,
ASD0541,unsafe behavior,B2,ritualized patterns of verbal behavior,C0814104,
ASD0542,self-harm,B3,preoccupation,C0424366,
ASD0543,difficulty coping with postpartum changes,B2,difficulties with transitions,C1827453,
ASD0544,difficulty in standing,B2,difficulties with transitions,C0241237,
ASD0545,"myoclonus syndrome, nocturnal",B1,stereotyped motor movements,C0751774,
ASD0546,higher-level cognitive functions,B1,repetitive motor movements,C2370894,
ASD0547,feeding difficulties (patient a),B2,difficulties with transitions,C4015660,
ASD0548,twitching eyes,A2,abnormalities in eye contact,C0850674,
ASD0549,limited verbal comprehension,A2,poorly integrated verbal communication,C1838025,
ASD0550,pronunciations,B1,echolalia,C0871159,
ASD0551,flapping movements of arms,B1,stereotyped motor movements,C0424248,
ASD0552,difficulty understanding two word instructions,A2,deficits in understanding and use of gestures,C4274559,
ASD0553,able to sustain attention,B3,excessively perseverative interest,C4274588,
ASD0554,cars2-st nonverbal communication score,A2,nonverbal communication,C4066057,
ASD0555,writing learning disability,E,intellectual disability,C2203495,
ASD0556,head hitting,B1,echolalia,C0424373,
ASD0557,psychiatric behavioural disability,E,intellectual disability,C1291707,
ASD0558,constant movement,B4,visual fascination with movement,C0424236,
ASD0559,parental concerns: child's speech,B1,echolalia,C2034435,
ASD0560,fechtner syndrome (disorder),E,intellectual developmental disorder,C0403445,
ASD0561,sleeping out,B1,lining up toys,C0557221,
ASD0562,inability to resist compulsive behaviors,A1,failure to respond to social interactions,C0474397,
ASD0563,coprolalia,B1,echolalia,C0233729,
ASD0564,delayed motor milestones (in some),B1,stereotyped motor movements,C3277639,
ASD0565,obsessional thoughts of causing harm to others,B3,preoccupation,C0424201,
ASD0566,communicating feelings,A2,nonverbal communication,C0600071,
ASD0567,excessive toe(s),B4,excessive smelling,C0586746,
ASD0568,lack of spontaneous play,A3,difficulties in sharing imaginative play,C1837650,
ASD0569,migrating clonic jerks (in some patients),B1,stereotyped motor movements,C3809176,
ASD0570,repetition of single-syllable words,B1,echolalia,C2170445,
ASD0571,test difficulty level,B2,difficulties with transitions,C0237570,
ASD0572,abnormal eye movements (in some patients),B1,stereotyped motor movements,C3809328,
ASD0573,regulation of behaviour,B2,ritualized patterns of verbal behavior,C1325858,
ASD0574,difficulty understanding more than three word instructions,A2,deficits in understanding and use of gestures,C4274564,
ASD0575,defects in fine motor skills,A2,abnormalities in body language,C3810002,
ASD0576,large head (disorder),B4,excessive touching of objects,C2243051,
ASD0577,self handicapping strategy,B3,preoccupation,C0871899,
ASD0578,repetition with struggle behavior,B2,ritualized patterns of verbal behavior,C2170446,
ASD0579,mild facial asymmetry,A2,lack of facial expressions,C1969402,
ASD0580,developmental articulation disorder,E,intellectual developmental disorder,C0236828,
